last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Harvey, Hunter,640451,60.1,,,13.4,0.5,7.8,18.2,,,
Puk, A.J.,640462,52.1,3.8,,,1.6,,,,42.5,
Kuhl, Chad,641771,7.5,35.1,,43.5,4.3,9.6,,,,
Sborz, Josh,622250,35.9,,,39.0,,25.1,,,,
Chafin, Andrew,605177,18.4,44.3,,36.3,1.0,,,,,
Leclerc, José,600917,38.7,1.6,15.6,30.4,13.7,,,,,
Martinez, Seth,661527,39.9,17.1,,,16.1,,,,26.8,
Phillips, Evan,623465,18.8,11.0,24.5,,,,,,45.7,
Nelson, Kyle,669459,31.7,,7.5,60.8,,,,,,
Lauer, Eric,641778,44.0,,33.2,9.7,0.8,12.3,,,,
Fleming, Josh,676596,4.7,44.1,,,29.0,22.1,,,,
Pruitt, Austin,643493,27.5,12.3,,37.8,6.1,16.1,,,0.3,
Brasier, Ryan,518489,38.6,13.4,11.7,36.3,,,,,,
Baker, Bryan,641329,57.0,,,28.5,14.5,,,,,
Moran, Jovani,663558,45.6,,,7.2,47.2,,,,,
Long, Sam,669674,49.9,,,12.4,2.3,30.1,5.3,,,
Quintana, José,500779,27.1,30.3,,,17.5,20.6,,,,4.5
Ramírez, Erasmo,541640,4.4,31.7,44.7,,6.8,12.3,,,,
Smith, Will,519293,39.8,,,49.9,2.3,8.0,,,,
Poche, Colin,621363,65.7,,,34.3,,,,,,
Nardi, Andrew,677053,58.7,,,40.1,1.2,,,,,
Sheehan, Emmet,686218,62.9,,,17.7,16.4,,,,3.0,
Webb, Jacob,657097,48.2,,,,27.6,,,,24.2,
Rodón, Carlos,607074,61.4,,,31.4,2.9,4.3,,,,
Pérez, Cionel,672335,30.6,31.7,,29.9,,7.8,,,,
May, Dustin,669160,26.9,33.3,15.1,,4.4,20.3,,,,
Woodford, Jake,663765,8.5,52.0,,1.2,4.4,12.6,,,21.3,
Rogers, Taylor,573124,,40.3,2.3,,,,,,57.4,
Loup, Aaron,571901,2.4,52.8,22.9,,17.5,4.6,,,,
Weems, Jordan,607179,47.1,,,44.4,8.3,0.1,,,,
Romano, Jordan,605447,43.8,0.3,,56.0,,,,,,
Rucker, Michael,621074,39.6,1.8,26.6,17.2,4.5,10.3,,,,
Davidson, Tucker,656353,36.2,,,49.2,,,4.3,,10.3,
Bradford, Cody,674003,54.5,,,17.6,26.1,1.8,,,,
Vesia, Alex,681911,68.5,,,30.1,1.4,,,,,
Iglesias, Raisel,628452,31.3,17.2,,15.1,36.5,,,,,
Thompson, Zack,668868,54.0,,15.4,,1.4,29.2,,,,
Bernardino, Brennan,657514,,58.2,,,1.7,40.1,,,,
Leone, Dominic,608678,39.4,,32.6,28.0,,,,,,
Hernandez, Jose,669796,33.7,,,54.2,12.2,,,,,
Mayza, Tim,641835,,77.7,,22.3,,,,,,
Beeks, Jalen,656222,42.7,,10.7,1.4,45.2,,,,,
Moore, Matt,519043,48.8,,,,32.6,18.6,,,,
Shreve, Chasen,592741,37.8,,,1.0,,,41.5,,19.7,
Hentges, Sam,656529,34.8,14.7,,15.0,,35.6,,,,
Pearson, Nate,663878,62.3,,,24.2,,13.5,,,,
Jackson, Andre,656578,42.6,,,17.3,34.7,5.4,,,,
Alexander, Tyler,641302,27.8,11.2,35.2,8.8,16.9,,,,,
Domínguez, Seranthony,622554,36.4,31.1,,29.2,3.4,,,,,
Coulombe, Danny,543056,8.7,15.9,43.2,,2.7,10.5,,,19.0,
Hoffman, Jeff,656546,33.5,,,47.7,,,18.8,,,
Martínez, Adrián,661309,,58.4,,17.8,23.9,,,,,
Rasmussen, Drew,656876,29.5,12.2,35.9,,,7.3,,,15.1,
Muñoz, Andrés,662253,29.7,17.2,,53.1,,,,,,
